# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.1.0 Build 162 10/23/2013 SJ Web Edition
# File: C:\fpga\pipelined_computer\source\pipelined_computer.csv
# Generated on: Fri Nov 29 13:41:21 2019

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage
CLOCK_50,Input,PIN_AF14,3B,B3B_N0,PIN_Y27,,,,,,,,,,,,,
HEX0[6],Output,PIN_AH28,5A,B5A_N0,PIN_AE29,,,,,,,,,,,,,
HEX0[5],Output,PIN_AG28,5A,B5A_N0,PIN_B7,,,,,,,,,,,,,
HEX0[4],Output,PIN_AF28,5A,B5A_N0,PIN_AB15,,,,,,,,,,,,,
HEX0[3],Output,PIN_AG27,5A,B5A_N0,PIN_AC14,,,,,,,,,,,,,
HEX0[2],Output,PIN_AE28,5A,B5A_N0,PIN_AH14,,,,,,,,,,,,,
HEX0[1],Output,PIN_AE27,5A,B5A_N0,PIN_G13,,,,,,,,,,,,,
HEX0[0],Output,PIN_AE26,5A,B5A_N0,PIN_AF15,,,,,,,,,,,,,
HEX1[6],Output,PIN_AD27,5A,B5A_N0,PIN_AB30,,,,,,,,,,,,,
HEX1[5],Output,PIN_AF30,5A,B5A_N0,PIN_AG12,,,,,,,,,,,,,
HEX1[4],Output,PIN_AF29,5A,B5A_N0,PIN_AA28,,,,,,,,,,,,,
HEX1[3],Output,PIN_AG30,5A,B5A_N0,PIN_AJ5,,,,,,,,,,,,,
HEX1[2],Output,PIN_AH30,5A,B5A_N0,PIN_AK7,,,,,,,,,,,,,
HEX1[1],Output,PIN_AH29,5A,B5A_N0,PIN_AJ6,,,,,,,,,,,,,
HEX1[0],Output,PIN_AJ29,5A,B5A_N0,PIN_AD29,,,,,,,,,,,,,
HEX2[6],Output,PIN_AC30,5B,B5B_N0,PIN_AF14,,,,,,,,,,,,,
HEX2[5],Output,PIN_AC29,5B,B5B_N0,PIN_AA26,,,,,,,,,,,,,
HEX2[4],Output,PIN_AD30,5B,B5B_N0,PIN_G15,,,,,,,,,,,,,
HEX2[3],Output,PIN_AC28,5B,B5B_N0,PIN_AH10,,,,,,,,,,,,,
HEX2[2],Output,PIN_AD29,5B,B5B_N0,PIN_C7,,,,,,,,,,,,,
HEX2[1],Output,PIN_AE29,5B,B5B_N0,PIN_AH7,,,,,,,,,,,,,
HEX2[0],Output,PIN_AB23,5A,B5A_N0,PIN_AF18,,,,,,,,,,,,,
HEX3[6],Output,PIN_AB22,5A,B5A_N0,PIN_AK14,,,,,,,,,,,,,
HEX3[5],Output,PIN_AB25,5A,B5A_N0,PIN_AH12,,,,,,,,,,,,,
HEX3[4],Output,PIN_AB28,5B,B5B_N0,PIN_AB17,,,,,,,,,,,,,
HEX3[3],Output,PIN_AC25,5A,B5A_N0,PIN_AJ14,,,,,,,,,,,,,
HEX3[2],Output,PIN_AD25,5A,B5A_N0,PIN_AK11,,,,,,,,,,,,,
HEX3[1],Output,PIN_AC27,5A,B5A_N0,PIN_AG13,,,,,,,,,,,,,
HEX3[0],Output,PIN_AD26,5A,B5A_N0,PIN_Y16,,,,,,,,,,,,,
HEX4[6],Output,PIN_W25,5B,B5B_N0,PIN_AJ9,,,,,,,,,,,,,
HEX4[5],Output,PIN_V23,5A,B5A_N0,PIN_AK9,,,,,,,,,,,,,
HEX4[4],Output,PIN_W24,5A,B5A_N0,PIN_AG30,,,,,,,,,,,,,
HEX4[3],Output,PIN_W22,5A,B5A_N0,PIN_AJ7,,,,,,,,,,,,,
HEX4[2],Output,PIN_Y24,5A,B5A_N0,PIN_W17,,,,,,,,,,,,,
HEX4[1],Output,PIN_Y23,5A,B5A_N0,PIN_AK6,,,,,,,,,,,,,
HEX4[0],Output,PIN_AA24,5A,B5A_N0,PIN_AD14,,,,,,,,,,,,,
HEX5[6],Output,PIN_AA25,5A,B5A_N0,PIN_B8,,,,,,,,,,,,,
HEX5[5],Output,PIN_AA26,5B,B5B_N0,PIN_AG11,,,,,,,,,,,,,
HEX5[4],Output,PIN_AB26,5A,B5A_N0,PIN_H14,,,,,,,,,,,,,
HEX5[3],Output,PIN_AB27,5B,B5B_N0,PIN_AK8,,,,,,,,,,,,,
HEX5[2],Output,PIN_Y27,5B,B5B_N0,PIN_AA13,,,,,,,,,,,,,
HEX5[1],Output,PIN_AA28,5B,B5B_N0,PIN_AH13,,,,,,,,,,,,,
HEX5[0],Output,PIN_V25,5B,B5B_N0,PIN_C8,,,,,,,,,,,,,
KEY[3],Input,PIN_Y16,3B,B3B_N0,PIN_B12,,,,,,,,,,,,,
KEY[2],Input,PIN_W15,3B,B3B_N0,PIN_AK12,,,,,,,,,,,,,
KEY[1],Input,PIN_AA15,3B,B3B_N0,PIN_AC30,,,,,,,,,,,,,
KEY[0],Input,PIN_AA14,3B,B3B_N0,PIN_AB27,,,,,,,,,,,,,
LEDR[9],Output,PIN_Y21,5A,B5A_N0,PIN_AG17,,,,,,,,,,,,,
LEDR[8],Output,PIN_W21,5A,B5A_N0,PIN_W15,,,,,,,,,,,,,
